,standing,title,year,description,geek_rating,avg_rating,num_voters,url
169,70,Paladins of the West Kingdom,2019,Invaders are coming from everywhere.  Keep the faith and defend your homeland.,7.677,7.98,18195,https://boardgamegeek.com//boardgame/266810/paladins-of-the-west-kingdom
170,71,The Gallerist,2015,"Amass a fortune, and stake your reputation by operating a lucrative art gallery.",7.676,8.02,14887,https://boardgamegeek.com//boardgame/125153/the-gallerist
171,72,Sky Team,2023,Pilot and co-pilot work together to land planes.,7.673,8.2,10228,https://boardgamegeek.com//boardgame/373106/sky-team
172,73,Star Wars: Imperial Assault,2014,Play as Rebel or Imperial forces to fulfill mission objectives.,7.669,7.96,24805,https://boardgamegeek.com//boardgame/164153/star-wars-imperial-assault
173,74,Android: Netrunner,2012,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,7.66,7.88,30287,https://boardgamegeek.com//boardgame/124742/android-netrunner
174,75,Mechs vs. Minions,2016,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.657,7.97,17585,https://boardgamegeek.com//boardgame/209010/mechs-vs-minions
175,76,The Crew: The Quest for Planet Nine,2019,Go on many planet-discovering space missions in this cooperative trick-taking game.,7.656,7.8,42619,https://boardgamegeek.com//boardgame/284083/the-crew-the-quest-for-planet-nine
176,77,Kingdom Death: Monster,2015,Try to survive in a nightmarish world that lies under eternal darkness.,7.652,8.5,9767,https://boardgamegeek.com//boardgame/55690/kingdom-death-monster
177,78,Agricola (Revised Edition),2016,"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",7.641,7.96,18341,https://boardgamegeek.com//boardgame/200680/agricola-revised-edition
178,79,Azul,2017,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.633,7.74,92751,https://boardgamegeek.com//boardgame/230802/azul
179,80,Race for the Galaxy,2007,"Worlds await! Colonize, develop and conquer, taking advantage of others' choices.",7.63,7.74,55992,https://boardgamegeek.com//boardgame/28143/race-for-the-galaxy
180,81,Five Tribes: The Djinns of Naqala,2014,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",7.623,7.77,41942,https://boardgamegeek.com//boardgame/157354/five-tribes-the-djinns-of-naqala
181,82,Eclipse: New Dawn for the Galaxy,2011,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.614,7.83,28495,https://boardgamegeek.com//boardgame/72125/eclipse-new-dawn-for-the-galaxy
182,83,Clank!: A Deck-Building Adventure,2016,Claim your treasures but don't attract the dragon in this deck-building dungeon race.,7.614,7.78,43026,https://boardgamegeek.com//boardgame/201808/clank-a-deck-building-adventure
183,84,Aeon's End,2016,Mages must reach their full potential to defend humanity from terrible monstrosities.,7.61,7.9,21150,https://boardgamegeek.com//boardgame/191189/aeons-end
184,85,Fields of Arle,2014,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",7.603,8.03,11180,https://boardgamegeek.com//boardgame/159675/fields-of-arle
185,86,Age of Innovation,2023,Terraform the world to expand your faction and create innovations on the way.,7.598,8.66,4578,https://boardgamegeek.com//boardgame/383179/age-of-innovation
186,87,Teotihuacan: City of Gods,2018,Use your worker dice to raise the legendary and breathtaking Pyramid of the Sun.,7.594,7.86,20210,https://boardgamegeek.com//boardgame/229853/teotihuacan-city-of-gods
187,88,Beyond the Sun,2020,Collectively develop a tech tree to fuel new discoveries and colonize space.,7.593,7.91,15048,https://boardgamegeek.com//boardgame/317985/beyond-the-sun
188,89,Lords of Waterdeep,2012,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,7.591,7.73,56137,https://boardgamegeek.com//boardgame/110327/lords-of-waterdeep
189,90,Through the Ages: A Story of Civilization,2006,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.588,7.84,19464,https://boardgamegeek.com//boardgame/25613/through-the-ages-a-story-of-civilization
190,91,El Grande,1995,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",7.578,7.76,29528,https://boardgamegeek.com//boardgame/93/el-grande
191,92,Dominant Species,2010,"With an ice age approaching, which animals will best propagate, migrate, and adapt?",7.577,7.81,21426,https://boardgamegeek.com//boardgame/62219/dominant-species
192,93,Robinson Crusoe: Adventures on the Cursed Island,2012,Work together — with friends or with Friday — to survive on a deserted island.,7.57,7.74,43896,https://boardgamegeek.com//boardgame/121921/robinson-crusoe-adventures-on-the-cursed-island
193,94,7 Wonders,2010,Draft cards to develop your ancient civilization and build its Wonder of the World.,7.57,7.68,105733,https://boardgamegeek.com//boardgame/68448/7-wonders
194,95,The Voyages of Marco Polo,2015,"Using unique abilities, fulfill contracts and reach your goals along the Silk Road.",7.57,7.78,25107,https://boardgamegeek.com//boardgame/171623/the-voyages-of-marco-polo
195,96,The Search for Planet X,2020,"Plan, scan, and theorize to find a new planet at the edge of our solar system.",7.566,7.94,12820,https://boardgamegeek.com//boardgame/279537/the-search-for-planet-x
196,97,Concordia Venus,2018,Merchants build and trade throughout the Roman Empire to please the Gods.,7.564,8.29,6126,https://boardgamegeek.com//boardgame/256916/concordia-venus
197,98,Clank!: Catacombs,2022,Deck-building adventure meets tile-laying in the newest incarnation of Clank!,7.555,8.28,6677,https://boardgamegeek.com//boardgame/365717/clank-catacombs
198,99,Tainted Grail: The Fall of Avalon,2019,Will take you on a fantastic adventure set in a dark Arthurian lore and legends.,7.547,8.09,12721,https://boardgamegeek.com//boardgame/264220/tainted-grail-the-fall-of-avalon
199,100,Revive,2022,"Revive civilization, 5000 years after the fall of humankind.",7.544,8.14,7878,https://boardgamegeek.com//boardgame/332772/revive
200,1,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.413,8.59,47571,https://boardgamegeek.com//boardgame/224517/brass-birmingham
201,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.376,8.52,54032,https://boardgamegeek.com//boardgame/161936/pandemic-legacy-season-1
202,3,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.346,8.58,62920,https://boardgamegeek.com//boardgame/174430/gloomhaven
203,4,Ark Nova,2021,"Plan and build a modern, scientifically managed zoo to support conservation projects.",8.338,8.54,45784,https://boardgamegeek.com//boardgame/342942/ark-nova
204,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.238,8.6,24393,https://boardgamegeek.com//boardgame/233078/twilight-imperium-fourth-edition
205,6,Dune: Imperium,2020,"Influence, intrigue, and combat in the universe of Dune.",8.231,8.43,47434,https://boardgamegeek.com//boardgame/316554/dune-imperium
